ApplNo,Form,DrugName,ActiveIngredient,ApplType,SponsorName,ApplicationDocsURL
9829,TABLET;ORAL,MESTINON,PYRIDOSTIGMINE BROMIDE,NDA,BAUSCH,http://www.accessdata.fda.gov/drugsatfda_docs/label/2001/15193s18lbl.pdf
9830,INJECTABLE;INJECTION,MESTINON,PYRIDOSTIGMINE BROMIDE,NDA,BAUSCH,http://www.accessdata.fda.gov/drugsatfda_docs/label/2001/09829s9lbl.pdf
9866,INJECTABLE;INJECTION,SOLU-CORTEF,HYDROCORTISONE SODIUM SUCCINATE,NDA,PHARMACIA AND UPJOHN,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/009866s115lbl.pdf
10040,SOLUTION;URETHRAL,CYSTOGRAFIN,DIATRIZOATE MEGLUMINE,NDA,BRACCO,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/010040s171lbl.pdf
10104,TABLET;ORAL,MEPHYTON,PHYTONADIONE,NDA,BAUSCH,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/010104s031lbl.pdf
10187,TABLET;ORAL,RITALIN,METHYLPHENIDATE HYDROCHLORIDE,NDA,NOVARTIS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/010187s093lbl.pdf
10379,TABLET;ORAL,CYTOMEL,LIOTHYRONINE SODIUM,NDA,KING PHARMS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/010379s054lbl.pdf
10402,INJECTABLE;INJECTION,PREMARIN,"ESTROGENS, CONJUGATED",NDA,WYETH PHARMS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/010402s068lbl.pdf
10515,INJECTABLE;INJECTION,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,NDA,BAUSCH,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/010515Orig1s033lbl.pdf
10596,CAPSULE;ORAL,CELONTIN,METHSUXIMIDE,NDA,PARKE DAVIS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/010596s22lbl.pdf
10669,TABLET;ORAL,LEUKERAN,CHLORAMBUCIL,NDA,WOODWARD SPECL,http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/010669s032lbl.pdf
10721,TABLET;ORAL,ANTIVERT,MECLIZINE HYDROCHLORIDE,NDA,CASPER PHARMA LLC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/010721s063lbl.pdf
11153,TABLET;ORAL,MEDROL,METHYLPREDNISOLONE,NDA,PFIZER,http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/011153Orig1s077lbl.pdf
11210,CAPSULE;ORAL,TESSALON,BENZONATATE,NDA,PFIZER,http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/011210s053lbl.pdf
11366,TABLET;ORAL,KEVEYIS,DICHLORPHENAMIDE,NDA,XERIS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/011366s033lbl.pdf
11459,CAPSULE;ORAL,VISTARIL,HYDROXYZINE PAMOATE,NDA,PFIZER,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/011459s051_011795s028lbl.pdf
11525,INJECTABLE;INJECTION,IC-GREEN,INDOCYANINE GREEN,NDA,AKORN,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011525Orig1s036lbl.pdf
11559,INJECTABLE;INJECTION,BREVITAL SODIUM,METHOHEXITAL SODIUM,NDA,PAR STERILE PRODUCTS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/011559s057lbl.pdf
11665,"TABLET, EXTENDED RELEASE;ORAL",MESTINON,PYRIDOSTIGMINE BROMIDE,NDA,BAUSCH,http://www.accessdata.fda.gov/drugsatfda_docs/label/2001/15193s18lbl.pdf
11719,INJECTABLE;INJECTION,METHOTREXATE SODIUM,METHOTREXATE SODIUM,NDA,HOSPIRA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011719Orig1s135lbl.pdf
11757,INJECTABLE;INJECTION,DEPO-MEDROL,METHYLPREDNISOLONE ACETATE,NDA,PFIZER,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/011757s120lbl.pdf
11790,SOLUTION;IM-IV,ROBAXIN,METHOCARBAMOL,NDA,HIKMA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/11790slr046_robaxin_lbl.pdf
11792,TABLET;ORAL,SOMA,CARISOPRODOL,NDA,MYLAN SPECIALITY LP,http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/011792s050lbl.pdf
11839,TABLET;ORAL,PROVERA,MEDROXYPROGESTERONE ACETATE,NDA,PFIZER,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/011839s079s080lbl.pdf
11856,INJECTABLE;INJECTION,SOLU-MEDROL,METHYLPREDNISOLONE SODIUM SUCCINATE,NDA,PHARMACIA AND UPJOHN,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/011856s139lbl.pdf
11870,SUSPENSION;ORAL,DIURIL,CHLOROTHIAZIDE,NDA,SALIX PHARMS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/011870s040lbl.pdf
11909,TABLET;ORAL,NARDIL,PHENELZINE SULFATE,NDA,PARKE DAVIS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/011909s038lbl.pdf
11961,TABLET;ORAL,MARPLAN,ISOCARBOXAZID,NDA,VALIDUS PHARMS INC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/011961s045lbl.pdf
11963,FOR SOLUTION;OPHTHALMIC,PHOSPHOLINE IODIDE,ECHOTHIOPHATE IODIDE,NDA,FERA PHARMS LLC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/011963s052lbl.pdf
12041,INJECTABLE;INJECTION,KENALOG-10,TRIAMCINOLONE ACETONIDE,NDA,APOTHECON,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/012041s045lbl.pdf
12093,TABLET;ORAL,ISORDIL,ISOSORBIDE DINITRATE,NDA,BAUSCH,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/012093s052lbl.pdf
12104,SPRAY;TOPICAL,KENALOG,TRIAMCINOLONE ACETONIDE,NDA,SUN PHARM INDS INC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/012104s032lbl.pdf
12141,TABLET;ORAL,CYTOXAN,CYCLOPHOSPHAMIDE,NDA,BAXTER HLTHCARE,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/012141s090,012142s112lbl.pdf"
12151,TABLET;ORAL,ALDACTONE,SPIRONOLACTONE,NDA,PFIZER,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/012151s079lbl.pdf
12250,INJECTABLE;INJECTION,CARBOCAINE,MEPIVACAINE HYDROCHLORIDE,NDA,HOSPIRA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/012250s037lbl.pdf
12342,TABLET;ORAL,PARNATE,TRANYLCYPROMINE SULFATE,NDA,CONCORDIA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/012342s064lbl.pdf
12380,CAPSULE;ORAL,ZARONTIN,ETHOSUXIMIDE,NDA,PARKE DAVIS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/012380s037lbl.pdf
12429,TABLET;ORAL,THIOGUANINE,THIOGUANINE,NDA,WOODWARD SPECL,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/012429s028lbl.pdf
12462,TABLET;ORAL,LOMOTIL,ATROPINE SULFATE; DIPHENOXYLATE HYDROCHLORIDE,NDA,PFIZER,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/012462s048lbl.pdf
12616,TABLET;ORAL,ALDACTAZIDE,HYDROCHLOROTHIAZIDE; SPIRONOLACTONE,NDA,PFIZER,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/012616s083lbl.pdf
12623,TABLET;ORAL,FLAGYL,METRONIDAZOLE,NDA,PFIZER,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/012623s069lbl.pdf
12750,CAPSULE;ORAL,LIBRAX,CHLORDIAZEPOXIDE HYDROCHLORIDE; CLIDINIUM BROMIDE,NDA,BAUSCH,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/012750s068lbl.pdf
12770,SOLUTION/DROPS;OTIC,VOSOL HC,"ACETIC ACID, GLACIAL; HYDROCORTISONE",NDA,AKORN,http://www.accessdata.fda.gov/drugsatfda_docs/label/1997/012770s024lbl.pdf
12787,CREAM;TOPICAL,SYNALAR,FLUOCINOLONE ACETONIDE,NDA,MEDIMETRIKS PHARMS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/012787s071lblrev.pdf
12806,OINTMENT;TOPICAL,CORDRAN,FLURANDRENOLIDE,NDA,ALMIRALL,http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/012806s037lbl.pdf
12827,TABLET;ORAL,ROBINUL,GLYCOPYRROLATE,NDA,CASPER PHARMA LLC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/012827s059lbl.pdf
12836,TABLET;ORAL,PERSANTINE,DIPYRIDAMOLE,NDA,BOEHRINGER INGELHEIM,http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/012836s061lbl.pdf
12911,CAPSULE;ORAL,METOPIRONE,METYRAPONE,NDA,HRA PHARMA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/012911s038lbl.pdf
13025,SOLUTION;INJECTION,THAM,TROMETHAMINE,NDA,HOSPIRA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/013025s040lbl.pdf
13026,TABLET;ORAL,TRECATOR,ETHIONAMIDE,NDA,WYETH PHARMS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/013026s029lbl.pdf
13217,TABLET;ORAL,SKELAXIN,METAXALONE,NDA,KING PHARMS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/013217s057lbl.pdf
13263,TABLET;ORAL,VALIUM,DIAZEPAM,NDA,WAYLIS THERAP,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/013263s097lbl.pdf
13295,INJECTABLE;INJECTION,CONRAY,IOTHALAMATE MEGLUMINE,NDA,LIEBEL-FLARSHEIM,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/013295s072lbl.pdf
13422,SUSPENSION/DROPS;OPHTHALMIC,MAXIDEX,DEXAMETHASONE,NDA,NOVARTIS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/013422s049lbl.pdf
13684,INJECTABLE;INJECTION,OSMITROL 5% IN WATER,MANNITOL,NDA,BAXTER HLTHCARE,http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/013684s106lbl.pdf
13790,LOTION;TOPICAL,CORDRAN,FLURANDRENOLIDE,NDA,ALMIRALL,http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/013790s021lbl.pdf
14134,INJECTABLE;INJECTION,PROTOPAM CHLORIDE,PRALIDOXIME CHLORIDE,NDA,BAXTER HLTHCARE CORP,http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/014134s022lbl.pdf
14399,TABLET;ORAL,NORPRAMIN,DESIPRAMINE HYDROCHLORIDE,NDA,VALIDUS PHARMS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/014399s071lbl.pdf
14602,INJECTABLE;INJECTION,CELESTONE SOLUSPAN,BETAMETHASONE ACETATE; BETAMETHASONE SODIUM PHOSPHATE,NDA,ORGANON,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/014602Orig1s065lbl.pdf
14879,INJECTABLE;INJECTION,DOPRAM,DOXAPRAM HYDROCHLORIDE,NDA,HIKMA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/14879s044lbl.pdf
14901,INJECTABLE;INJECTION,KENALOG-40,TRIAMCINOLONE ACETONIDE,NDA,APOTHECON,http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/014901Orig1s047lbl.pdf
15034,CAPSULE;ORAL,PONSTEL,MEFENAMIC ACID,NDA,AVION PHARMS,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/015034s045lbl.pdf
15193,SYRUP;ORAL,MESTINON,PYRIDOSTIGMINE BROMIDE,NDA,BAUSCH,http://www.accessdata.fda.gov/drugsatfda_docs/label/2001/15193s18lbl.pdf
15197,TABLET;ORAL,AMICAR,AMINOCAPROIC ACID,NDA,AKORN,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/015197s043,015230s035lbl.pdf"
15230,SOLUTION;ORAL,AMICAR,AMINOCAPROIC ACID,NDA,AKORN,http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/015230s037lbl.pdf
15296,SOLUTION;TOPICAL,SYNALAR,FLUOCINOLONE ACETONIDE,NDA,MEDIMETRIKS PHARMS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/015296s064lbl.pdf
16084,TABLET;ORAL,ZYLOPRIM,ALLOPURINOL,NDA,CASPER PHARMA LLC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/016084Orig1s049lbl.pdf
16092,TABLET;ORAL,EDECRIN,ETHACRYNIC ACID,NDA,BAUSCH,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/16092s042,16093s044lbl.pdf"
16093,INJECTABLE;INJECTION,EDECRIN,ETHACRYNATE SODIUM,NDA,BAUSCH,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/16092s042,16093s044lbl.pdf"
16151,TABLET;ORAL,UREX,METHENAMINE HIPPURATE,NDA,ALVOGEN,http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/016151s025lbl.pdf
16199,ENEMA;RECTAL,CORTENEMA,HYDROCORTISONE,NDA,ANI PHARMS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/016199s035lbl.pdf
16267,INJECTABLE;INJECTION,DESFERAL,DEFEROXAMINE MESYLATE,NDA,NOVARTIS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/016267s062lbl.pdf
16269,INJECTABLE;INJECTION,MANNITOL 25%,MANNITOL,NDA,HOSPIRA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/016269s056lbl.pdf
16273,TABLET;ORAL,LASIX,FUROSEMIDE,NDA,VALIDUS PHARMS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/016273s069lbl.pdf
16295,CAPSULE;ORAL,HYDREA,HYDROXYUREA,NDA,CHEPLAPHARM,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/016295Orig1s055lbl.pdf
16320,TABLET;ORAL,MYAMBUTOL,ETHAMBUTOL HYDROCHLORIDE,NDA,STI PHARMA LLC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/016320s066lbl.pdf
16324,TABLET;ORAL,IMURAN,AZATHIOPRINE,NDA,SEBELA IRELAND LTD,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/016324s039lbl.pdf
16366,INJECTABLE;INJECTION,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SODIUM CHLORIDE,NDA,ICU MEDICAL INC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/016366s214lbl.pdf
16367,INJECTABLE;INJECTION,DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE,NDA,ICU MEDICAL INC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/016367s182lbl.pdf
16608,TABLET;ORAL,TEGRETOL,CARBAMAZEPINE,NDA,NOVARTIS,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/016608s115_018281_s058_018927s055_020234_s047.pdf
16619,INJECTABLE;INJECTION,SUBLIMAZE PRESERVATIVE FREE,FENTANYL CITRATE,NDA,AKORN,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/016619Orig1s052lbl.pdf
16620,CAPSULE;ORAL,MACRODANTIN,"NITROFURANTOIN, MACROCRYSTALLINE",NDA,ALMATICA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/016620Orig1s076lbl.pdf
16673,INJECTABLE;INJECTION,DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE,NDA,BAXTER HLTHCARE,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/016673s149,016694s121lbl.pdf"
16677,INJECTABLE;INJECTION,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SODIUM CHLORIDE,NDA,BAXTER HLTHCARE,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/016677s169,018016s067,020178s021lbl.pdf"
16678,INJECTABLE;INJECTION,DEXTROSE 5% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE,NDA,BAXTER HLTHCARE,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/016678s007,016683s103,016687s104,016689s107,016697s098lbl.pdf"
16679,INJECTABLE;INJECTION,LACTATED RINGER'S AND DEXTROSE 5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,NDA,BAXTER HLTHCARE,http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/016679s114lbl.pdf
16682,INJECTABLE;INJECTION,LACTATED RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,NDA,BAXTER HLTHCARE,http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/016682s117lbl.pdf
16683,INJECTABLE;INJECTION,DEXTROSE 5% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE,NDA,BAXTER HLTHCARE,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/016678s007,016683s103,016687s104,016689s107,016697s098lbl.pdf"
16687,INJECTABLE;INJECTION,DEXTROSE 5% IN SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE,NDA,BAXTER HLTHCARE,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/016678s007,016683s103,016687s104,016689s107,016697s098lbl.pdf"
16689,INJECTABLE;INJECTION,DEXTROSE 5% IN SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE,NDA,BAXTER HLTHCARE,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/016678s007,016683s103,016687s104,016689s107,016697s098lbl.pdf"
16693,INJECTABLE;INJECTION,RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,NDA,BAXTER HLTHCARE,http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/016693s101lbl.pdf
16694,INJECTABLE;INJECTION,DEXTROSE 10% IN PLASTIC CONTAINER,DEXTROSE,NDA,BAXTER HLTHCARE,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/016673s149,016694s121lbl.pdf"
16697,INJECTABLE;INJECTION,DEXTROSE 2.5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE,NDA,BAXTER HLTHCARE,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/016678s007,016683s103,016687s104,016689s107,016697s098lbl.pdf"
16750,INJECTABLE;INJECTION,CORTROSYN,COSYNTROPIN,NDA,AMPHASTAR PHARMS INC,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/016750Orig1s032lbl.pdf
16784,SOLUTION;IRRIGATION,GLYCINE 1.5% IN PLASTIC CONTAINER,GLYCINE,NDA,B BRAUN,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/016784s035lbl.pdf
16812,INJECTABLE;INJECTION,KETALAR,KETAMINE HYDROCHLORIDE,NDA,PAR STERILE PRODUCTS,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/016812s051lbl.pdf
16831,SOLUTION;TOPICAL,EFUDEX,FLUOROURACIL,NDA,BAUSCH,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/016831Orig1s063lbl.pdf
16851,SUSPENSION/DROPS;OPHTHALMIC,FML,FLUOROMETHOLONE,NDA,ALLERGAN,http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/016851s063lbl.pdf
16885,TABLET;ORAL,LYSODREN,MITOTANE,NDA,HRA PHARMA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/016885s029lbl.pdf
16909,OINTMENT;TOPICAL,LIDEX,FLUOCINONIDE,NDA,ALVOGEN,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/016909s053lbl.pdf
16931,INJECTABLE;INJECTION,R-GENE 10,ARGININE HYDROCHLORIDE,NDA,PHARMACIA AND UPJOHN,http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/016931s031lbl.pdf
16964,INJECTABLE;INJECTION,MARCAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,NDA,HOSPIRA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/016964s082lbl.pdf
16968,SOLUTION;INTRAOCULAR,MIOSTAT,CARBACHOL,NDA,ALCON,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/016968s029lbl.pdf
17001,CAPSULE;ORAL,ANCOBON,FLUCYTOSINE,NDA,BAUSCH,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/017001Orig1s034lbl.pdf
17011,SUSPENSION/DROPS;OPHTHALMIC,PRED FORTE,PREDNISOLONE ACETATE,NDA,ALLERGAN,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/017011s050lbl.pdf
17016,INJECTABLE;INJECTION,CHORIONIC GONADOTROPIN,"GONADOTROPIN, CHORIONIC",BLA,FERRING,http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/017016s156lbl.pdf
17029,INJECTABLE;INJECTION,HEPARIN SODIUM,HEPARIN SODIUM,NDA,FRESENIUS KABI USA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/017029s159lbl.pdf
